Date and Time of initial call,Date and time of Ranger response,borough,property,location,batch_geocode_descrip,Latitude,Longitude,loc_acc,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311SR_Number,final_ranger_action,number_animals,PEP_Response,Animal_Monitored,Rehabilitator,Hours_spent_monitoring,Police_Response,ESU_Response,ACC_Intake_Number,
04/13/2019 02:00:00 PM,04/13/2019 02:30:00 PM,Manhattan,Inwood Hill Park,Southeast corner Gaelic Soccer Field,,40.871889,-73.922028,latlng_provided,Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1705526123,ACC,1,false,false,,,false,false,59915,
05/08/2019 02:00:00 PM,05/08/2019 03:30:00 PM,Manhattan,Sherman Creek,New York Restoration Project Shed,,40.859929,-73.921817,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,,
04/07/2019 03:00:00 PM,04/07/2019 03:20:00 PM,Manhattan,Inwood Hill Park,"Gaelic field, southeastern corner closer to the Marsh side, at the base of a London Plane tree",,40.873125,-73.921672,latlng_provided,Big Brown Bat,Public,Native,Healthy,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
12/13/2018 09:24:00 AM,12/13/2018 09:35:00 AM,Brooklyn,Marine Park,Dead end of Gerritsen Avenue near entrance to Gerritsen Beach,,40.58681,-73.918398,latlng_provided,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1653352370,ACC,1,false,false,,,false,false,50403,
03/31/2019 08:00:00 AM,03/31/2019 09:50:00 AM,Brooklyn,Saratoga Park,East entrance directly across from 55 Saratoga Avenue,,40.685087,-73.917907,latlng_provided,Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,true,false,,
05/05/2019 09:05:00 AM,05/05/2019 09:08:00 AM,Bronx,Van Cortlandt Park,Van Cortlandt Lake Storm Drain,,40.889697,-73.893512,latlng_provided,Turtle/ Unspecified Species,Central,N/A,N/A,0.5,Adult,Marine Reptiles,1-1-1-716461740,Unfounded,1,false,false,,,false,false,,
03/14/2019 02:15:00 PM,03/14/2019 02:20:00 PM,Queens,Highland Park,Behind  ballfield 4,,40.684058,-73.893347,latlng_provided,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1,false,false,,
03/17/2019 03:30:00 PM,03/17/2019 03:30:00 PM,Bronx,Van Cortlandt Park,"40°53'39.9""N 73°53'21.6""W",,40.894417,-73.889333,latlng_provided,Swan,Central,Invasive,Healthy,0.5,Adult,Birds,1-1-1695186100,Unfounded,1,false,false,,,false,false,,
02/10/2019 03:30:00 PM,02/11/2019 12:30:00 PM,Bronx,Van Cortlandt Park,(Off-Trail near Exit 24 of Henry Hudson Pkwy S),,40.903544,-73.888254,latlng_provided,Coyote,Observed by Ranger,Native,DOA,3,Adult,Coyotes,1-1-1679139831,Relocated/Condition Corrected,1,false,false,,,false,false,,
03/15/2019 04:56:00 PM,03/15/2019 05:01:00 PM,Bronx,Concrete Plant Park,"40°49'37.8""N 73°53'05.8""W",,40.827167,-73.884944,latlng_provided,Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1695217248,ACC,1,false,false,,,false,false,57180,
